bu,2264,بو,1
ol,1072,اۏل,1
ay,985,آی,1
sen,671,سن,1
kişi,651,کیشی,1
edgü,628,ائدگۆ,1
ilig,552,ایلیگ,1
negü,532,نه‌گۆ,1
kör,495,کؤر,1
erse,490,ایرسه,1
bolur,467,بۏلور,1
kerek,439,کیرک,1
er,413,ار,1
birle,402,بیرله,1
saña,401,ساڭا,1
bolsa,380,بۏلسا,1
bir,374,بیر,1
teg,359,تگ,1
söz,351,سؤز,1
kamuğ,328,قاموغ,1
maña,320,ماڭا,1
emdi,306,ایمدی,1
öz,298,اؤز,1
aydı,292,آیدې,1
boldı,270,بۏلدې,1
ayur,269,آیور,1
bile,265,بیله,1
köñül,263,کؤڭۆل,1
bilig,258,بیلیگ,1
tér,257,تیر,1
kün,253,کۆن,1
anı,251,آنې,1
özüñ,246,اؤزۆڭ,1
köni,239,کؤنی,1
ögdülmiş,238,اؤگدۆلمیش,1
eşitgil,236,ائشیتگیل,1
hem,233,هم,1
barça,230,بارچا,1
yana,228,یانا,1
bérdi,227,بیردی,1
kalı,224,قالې,1
dünyâ,220,دۆنیا,1
ne,217,نه,1
beg,212,بگ,1
men,211,من,1
bayat,198,بایات,1
tut,196,توت,1
ajun,191,آژون,1
ya,189,یا,1
erdi,186,ایردی,1
üküş,182,اۆکۆش,1
yok,180,یۏق,1
neçe,178,نئچه,1
kutadgu,175,قوتادقو,1
kılkı,173,قېلقې,1
bi̇li̇g,172,بیلیگ,1
cevâbı,172,جوابې,1
yusuf,171,یوسف,1
has,171,خاص,1
tayangu,171,تایانقو,1
iş,171,ایش,1
neñ,171,نڭ,1
kıl,170,قېل,1
isiz,170,ایسیز,1
özüm,168,اؤزۆم,1
elig,167,ائلیگ,1
iki,165,ایکی,1
toldı,163,تۏلدې,1
begler,163,بگلر,1
ked,163,کد,1
takı,162,تاقې,1
tapuğ,162,تاپوغ,1
iligke,162,ایلیگکه,1
atı,160,آتې,1
kayu,159,قایو,1
añar,159,آڭار,1
tiriglik,159,تیریگلیک,1
sözüg,153,سؤزۆگ,1
idi,151,ایدی,1
yéme,150,ییمه,1
yér,150,ییر,1
kim,149,کیم,1
tükel,148,تۆکل,1
munı,146,مونې,1
işi,146,ایشی,1
tutsa,145,توتسا,1
yanut,143,یانوت,1
köñli,141,کؤڭلی,1
biliglig,141,بیلیگلیگ,1
séni,137,سینی,1
kıldı,135,قېلدې,1
bodun,134,بۏدون,1
bar,133,بار,1
ukuş,128,اوقوش,1
méni,128,مینی,1
ölüm,128,اؤلۆم,1
tilese,126,تیله‌سه,1
at,126,آت,1
törü,126,تؤرۆ,1
ukuşluğ,125,اوقوشلوغ,1
ötrü,124,اؤترۆ,1
sözi,123,سؤزی,1
bağırsak,123,باغېرساق,1
başı,118,باشې,1
kişike,118,کیشیکه,1
él,118,ایل,1
asğı,118,آسغې,1
uluğ,117,اولوغ,1
kılur,115,قېلور,1
turup,115,توروپ,1
işke,114,ایشکه,1
kara,110,قارا,1
yağı,108,یاغې,1
tilin,108,تیلین,1
özi,107,اؤزی,1
ma,106,ما,1
tilek,105,تیلک,1
me,103,مه,1
adın,103,آدېن,1
kılsa,103,قېلسا,1
yakın,102,یاقېن,1
ögdülmişke,102,اؤگدۆلمیشکه,1
çın,99,چېن,1
körse,98,کؤرسه,1
yüz,97,یۆز,1
uzun,97,اوزون,1
ayâ,96,آیا,1
yalñuk,95,یالڭوق,1
miñ,95,میڭ,1
sözüm,95,سؤزۆم,1
